TN;Quốc gia khởi đầu trong cuộc cách mạng công nghiệp lần thứ nhất diễn ra vào giữa thế kỉ XVIII là;Anh|Mĩ|Đức|Pháp;1;;
TN;Ở thế kỉ XVIII, những tiến bộ về kĩ thuật ở Anh chủ yếu diễn ra trong các ngành nào?;Dệt, luyện kim và phát minh máy móc|Ngành luyện kim, khai thác mỏ và dệt|Dệt, luyện kim và giao thông vận tải|Khai thác mỏ, dệt và giao thông vận tải;3;;
TN;Thế kỉ XVIII, cách mạng công nghiệp lần thứ nhất diễn ra đầu tiên ở Anh, sau đó lan ra Châu Âu và khu vực nào sau đây?;Đông Nam Á|Đông Bắc Á|Nam Mỹ|Bắc Mỹ;4;;
TN;Năm 1807, Rô-bớt Phơn-tơn đã chế tạo thành công;đầu máy xe lửa chạy trên đường ray đầu tiên|tàu thủy chạy chở khách chạy bằng hơi nước|máy kéo sợi chạy bằng sức nước|máy bay chạy bằng động cơ xăng;2;;
TN;Phát minh nào trong cuộc cách mạng công nghiệp đã tạo tiền đề cho sự ra đời và phát triển của ô tô, máy bay và thúc đẩy ngành khai thác dầu mỏ?;Phương pháp nấu than cốc|Chế tạo ra hệ thống máy tự động|Phát minh Động cơ đốt trong|Phương pháp luyện kim “put-đinh”;3;;
TN;Những thành tựu cơ bản của Cách mạng công nghiệp lần thứ nhất ở thế kỉ XVIII - XIX là máy kéo sợi, máy dệt, máy hơi nước và;đầu máy xe lửa|máy bay, ô tô|điện thoại|tàu thủy, máy bay;1;;
TN;Giêm Oát là người đã phát minh ra;con thoi bay|máy dệt|máy hơi nước|đầu máy xe lửa;3;;
TN;Thành tựu khoa học và kĩ thuật quan trọng nhất của cuộc Cách mạng công nghiệp lần thứ hai từ giữa thế kỉ XIX đến đầu thế kỉ XX là;máy hơi nước và điện|động cơ đốt trong và ô tô|máy hơi nước và điện thoại|điện và động cơ đốt trong;4;;
TN;“Ông vua xe hơi” nước Mỹ là ai?;Tô-mát Ê-đi-xơn|Hen-ri Pho|Can Ben|Hen-ri Bê-sê-mơ;2;;
TN;Trong cuộc cách mạng công nghiệp lần thứ nhất ở thế kỉ XVIII - XIX, phát minh kĩ thuật nào đã tạo ra bước chuyển căn bản trong nền sản xuất tư bản chủ nghĩa?;Động cơ đốt trong|Máy kéo sợi Gien-ni|Máy tính điện tử|Máy hơi nước;4;;
TN;Trong các thế kỉ XVIII - XIX, những thành tựu đạt được trong cuộc cách mạng công nghiệp lần thứ nhất đã đưa con người bước sang thời đại;“văn minh công nghiệp”|“văn minh nông nghiệp”|“văn minh thông tin”|“văn minh trí tuệ”;1;;
TN;Nội dung nào dưới đây phản ánh không đúng ý nghĩa của việc phát minh ra máy hơi nước ở Anh (1784)?;Lao động bằng tay được thay thế dần bằng máy móc|Tốc độ sản xuất và năng suất lao động tăng vượt bậc|Tạo ra động lực mới, khởi đầu quá trình công nghiệp hóa|Biến nước Anh trở thành “công xưởng của thế giới”;4;;
TN;Cuộc cách mạng công nghiệp thời cận đại không có những tác động nào sau đây?;Thúc đẩy sự phát triển kinh tế, nâng cao năng suất lao động|Hình thành và phát triển các trung tâm công nghiệp, thành thị|Gây ô nhiễn môi trường, bóc lột lao động và xâm chiếm thuộc địa|Thúc đẩy toàn cầu hóa, tự động hóa, thương mại điện tử, tự do thông tin;4;;
TN;Nội dung nào không phản ánh đúng hệ quả tích cực của cuộc cách mạng công nghiệp thời kì cận đại?;Thúc đẩy sự phát triển của lực lượng sản xuất|Nhiều trung tâm công nghiệp mới hình thành|Thúc đẩy chuyển biến mạnh mẽ trong nông nghiệp|Giải quyết triệt để mâu thuẫn trong xã hội tư bản;4;;
TN;Đặc trưng cơ bản của cuộc cách mạng công nghiệp cuối thế kỉ XVIII – đầu thế kỉ XIX là;sử dụng năng lượng nước, hơi nước và cơ giới hóa sản xuất|ứng dụng điện tử và công nghệ thông tin để tự động hóa sản xuất|sử dụng năng lượng điện với sự ra đời của các dây chuyền sản xuất hàng loạt|quy trình, phương thức sản xuất được tối ưu hóa dựa trên nền tảng công nghệ số;1;;
TN;Nội dung nào dưới đây phản ánh không đúng về kết quả của các cuộc cách mạng công nghiệp ở các nước tư bản thời kì cận đại?;Hình thành hai giai cấp cơ bản trong xã hội tư bản là tư sản và vô sản|Góp phần thúc đẩy sự phát triển của nông nghiệp và giao thông vận tải|Nâng cao năng suất lao động và làm thay đổi bộ mặt các nước tư bản|Làm tiền đề dẫn đến sự bùng nổ các cuộc cách mạng tư sản ở châu Âu;4;;
TN;Cuộc cách mạng công nghiệp diễn ra vào nửa sau thế kỉ XVIII - đầu thế kỉ XIX ở châu Âu là quá trình;công nghiệp hóa, hiện đại hóa các nước tư bản châu Âu|hình thành hai giai cấp cơ bản là tư sản và công nhân|cơ khí hóa nền sản xuất thay thế cho lao động thủ công|hình thành nền tảng kinh tế của của chủ nghĩa tư bản;3;;
TN;Thời hiện đại, cuộc cách mạng công nghiệp lần thứ ba còn được gọi là;cách mạng 4.0|cách mạng kĩ thuật số|cách mạng kĩ thuật|cách mạng công nghệ;4;;
TN;Thành tựu quan trọng đầu tiên của các mạng công nghiệp lần thứ ba là;Robot|vệ tinh|tàu chiến|máy tính;4;;
TN;Trong cách mạng công nghiệp lần thứ ba, bước tiến quan trọng của ngành công nghệ thông tin là;mạng kết nối Internet không dây|mạng kết nối Internet có dây|máy tính điện tử|vệ tinh nhân tạo;2;;
TN;Cách mạng công nghiệp lần thứ tư còn được gọi là;cách mạng kĩ thuật số|cách mạng công nghiệp nhẹ|cách mạng kĩ thuật|cách mạng 4.0;4;;
TN;Cách mạng 4.0 hoàn toàn tập trung vào công nghệ kĩ thuật số và;kết nối vạn vật thông qua Internet|công cuộc chinh phục vũ trụ|máy móc tự động hóa|công nghệ Robot;1;;
TN;Robot trí tuệ nhân tạo đầu tiên của Việt Nam chế tạo phục vụ cho ngành;Kinh tế|Giáo dục|Quân sự|Công nghệ thông tin;2;;
TN;Kho dữ liệu khổng lồ rất quan trọng trong sự phát triển của công nghệ trong thời đại 4.0 đó là;Cloud|AI|In 3D|Big Data;4;;
TN;Thành tựu trong công cuộc chinh phục vũ trụ của cuộc cách mạng công nghiệp lần thứ ba gắn liền với hai cường quốc Mỹ và;Anh|Trung Quốc|Liên Xô|Ấn Độ;3;;
TN;Thành tựu của cách mạng công nghiệp lần thứ tư không bao gồm;internet|máy hơi nước|công nghệ thông tin|máy tính;2;;
TN;Những thành tựu đạt được trong các cuộc cách mạng công nghiệp thời kì hiện đại đã đưa loài người bước sang thời đại;“văn minh công nghiệp”|“văn minh nông nghiệp”|“văn minh thông tin”|“văn minh siêu trí tuệ”;3;;
TN;Ý nào sau đây không phải là thành tựu cơ bản của cách mạng công nghiệp lần thứ ba?;Trí tuệ nhân tạo (AI)|Mạng Internet không dây|Máy tính|Chinh phục vũ trụ;1;;
TN;Trong cách mạng công nghiệp lần thứ tư, thành tựu nào đã giúp giải phóng sức lao động con người, nâng cao năng suất lao động và chất lượng sản phẩm công nghiệp?;Tự động hóa|Công nghệ Robot|Tự động hóa và Công nghệ Robot|Công nghệ in 3D;3;;
TN;Nội dung nào dưới đây là không phản ánh đúng về cuộc cách mạng công nghiệp lần thứ tư?;Các thành tựu khoa học - công nghệ làm cho tài nguyên thiên nhiên, lao động phổ thông ngày càng mất lợi thế|Tạo ra sự chênh lệch về trình độ phát triển, khoảng cách giàu nghèo giữa các quốc gia có xu hướng mở rộng thêm|Chỉ tác động đến lĩnh vực khoa học và công nghệ, không ảnh hưởng đến giáo dục đào tạo và lĩnh vực quản lí nhà nước|Làm xuất hiện nhiều hình thức tội phạm mới, sử dụng công nghệ cao để trốn thuế, lừa đảo, chiếm đoạt tài sản của người khác;3;;
TN;Trong cuộc cách mạng công nghiệp lần thứ tư, thành tựu nào được sử dụng trong các lĩnh vực quản lý đô thị, thời trang?;Internet vạn vật|Trí tuệ nhân tạo|Công nghệ in 3D|Công nghệ na-no;3;;
TN;Cách mạng công nghiệp 4.0 có những tác động tích cực đối với nhân loại, tuy nhiên nó cũng có điểm hạn chế về vấn đề;ô nhiễm môi trường|an ninh mạng|quyền riêng tư|an ninh mạng và quyền riêng tư;4;;
TN;Một trong những khó khăn cơ bản của giai cấp công nhân Việt Nam trước tác động của cuộc cách mạng công nghiệp lần thứ tư là;chưa đáp ứng được yêu cầu về trình độ, chuyên môn, kĩ năng nghề nghiệp|lao động giản đơn trong các dây chuyền sản xuất có nguy cơ bị thay thế|số lượng công nhân trong doanh nghiệp có vốn đầu tư nước ngoài tăng|số lượng, chất lượng công nhân trong doanh nghiệp nhà nước giảm nhanh;2;;
TN;Từ những thế kỉ đầu Công nguyên, ở Đông Nam Á đã có sự du nhập Phật giáo, Hin-đu giáo là các tôn giáo lớn có nguồn gốc từ;phương Tây|Trung Quốc|Nhật Bản|Ấn Độ;4;;
TN;Sự tiếp xúc, giao thoa văn hóa giữa Đông Nam Á với văn minh Trung Hoa thông qua con đường;buôn bán và bành trướng xâm lược của Trung Quốc|buôn bán và truyền đạo của các tu sĩ người Trung Quốc|chỉ ảnh hưởng qua con đường giao thương, buôn bán|xâm lược, thống trị của các triều đại phong kiến Trung Quốc;4;;
TN;Sự đa dạng về cư dân, tộc người có tác động như thế nào đến văn minh Đông Nam Á thời kì cổ - trung đại?;Tạo nên các nhóm cư dân với ngữ hệ và ngôn ngữ khác nhau|Góp phần hình thành nền văn minh bản địa với sắc thái phong phú|Sự xung đột, mâu thuẫn giữa các nhóm cư dân, tộc người khác nhau|Nền văn minh bản địa hình thành đồng nhất giữa nhóm cư dân, tộc người;2;;
TN;Nội dung không phải lí do để văn minh Trung Hoa ảnh hưởng đến Đông Nam Á là;vị trí địa lí liền kề với Đông Nam Á|sự xâm lược, thống trị của Trung Quốc|quá trình di dân của người Trung Quốc|hoạt động truyền giáo của tu sĩ Công giáo;4;;
TN;Nền văn minh Đông Nam Á xa xưa và ngày nay ít chịu ảnh hưởng lĩnh vực nào sau đây từ văn minh Ấn Độ?;Giáo dục|Tôn giáo|Chính trị|Nghệ thuật;1;;
TN;Sự ảnh hưởng ban đầu của Nho giáo đến Việt Nam thời phong kiến được thể hiện như thế nào?;Nhà Lý cho xây dựng Văn Miếu để thờ Khổng Tử|Thường xuyên mở các khoa thi để tuyển chọn nhân tài|Giáo lí Nho giáo được nhân dân học tập rộng rãi|Tư tưởng trung quân – ái quốc luôn được đề cao;1;;
TN;Nền văn minh Đông Nam Á ngày nay được đánh giá là “thống nhất trong đa dạng” là vì có nhiều yếu tố chung trên nền tảng sự đa dạng của;nền văn hóa bản địa và các yếu tố mới từ phương Đông, phương Tây|sự tiếp thu có chọn lọc những yếu tố mới từ văn minh Ấn Độ, Trung Hoa|văn hóa bản địa truyền thống hòa cùng bản sắc riêng của mỗi quốc gia dân tộc|sự tiếp thu có chọn lọc những yếu tố mới từ văn minh phương Đông và phương Tây;3;;
TN;Từ thế kỉ VII đến cuối thế kỉ XV là giai đoạn văn minh Đông Nam Á;bước đầu hình thành|bước đầu phát triển|phát triển rực rỡ|tiếp tục phát triển;3;;
TN;Ba nhóm chính trong tín ngưỡng bản địa của Đông Nam Á không bao gồm;tín ngưỡng sùng bái tự nhiên|tín ngưỡng phồn thực|tín ngưỡng thờ cũng người đã mất|Phật giáo, Nho giáo;4;;
TN;Sự du nhập của văn hóa phương Tây đã đem đến cho Đông Nam Á yếu tố văn hóa mới như tư tưởng, tôn giáo, ngôn ngữ và nhất là những tiến bộ về;chữ viết|kiến trúc|nghệ thuật|kĩ thuật;4;;
TN;Ý nào sau đây không thể hiện nội dung của dòng văn học dân gian ở Đông Nam Á thời cổ đại?;Giải thích về nguồn gốc thế giới, loài người|Phản ánh hoạt động sản xuất nông nghiệp|Ca ngợi đất nước, sự tiến bộ của kĩ thuật|Thể hiện đời sống vật chất, tinh thần;3;;
TN;Công trình nào sau đây thuộc kiến trúc Phật giáo điển hình?;Đền tháp Bô-rô-bu-đua (In-đô-nê-xi-a)|Kinh thành Huế (Việt Nam)|Đền Ăng-co-vát (Cam-pu-chia)|Thánh địa Mỹ Sơn (Việt Nam);1;;
TN;Ý nào sau đây là nguy cơ của nền văn minh Đông Nam Á trước xu thế toàn cầu hóa của nhân loại hiện nay?;Phát triển ngày càng đa dạng, phong phú hơn|Tiếp nhận thêm nhiều yếu tố văn hóa mới tích cực|Đánh mất dần bản sắc văn hóa của các dân tộc|Học hỏi được những tiến bộ kĩ thuật bên ngoài;3;;
TN;Kinh tế chính của cư dân Văn Lang – Âu Lạc là;săn bắn, hái lượm|nông nghiệp lúa nước|thương nghiệp|thủ công nghiệp;2;;
TN;Bộ máy nhà nước Văn Lang - Âu Lạc được tổ chức theo 3 cấp từ trên xuống đứng đầu lần lượt là;Vua –Quan văn, quan võ – Lạc dân|Vua – Lạc hầu, Lạc tướng – Tù trưởng|Vua – Qúy tộc, vương hầu – Bồ chính|Vua – Lạc hầu, Lạc tướng – Bồ chính;4;;
TN;Nền văn minh Văn Lang – Âu Lạc còn được gọi là văn minh;Sông Hồng|Phù Nam|Sa Huỳnh|Trống đồng;1;;
TN;Hiện vật nào sau đây tiêu biểu cho trình độ chế tác của cư dân Văn Lang – Âu Lạc?;Trống đồng Đông Sơn|Tiền đồng Óc Eo|Phù điêu Khương Mỹ|Tượng phật Đồng Dương;1;;
TN;Nội dung nào sau đây không phải là cơ sở hình thành của nhà nước Văn Lang-Âu Lạc?;Điều kiện tự nhiên thuận lợi cho phát triển kinh tế nông nghiệp|Chịu ảnh hưởng từ các nền văn minh bên ngoài: Ấn Độ, Trung Hoa|Sự tan rã của công xã nguyên thủy dẫn đến sự phân hóa xã hội|Xuất phát từ nhu cầu đoàn kết phát triển kinh tế, chống ngoại xâm;2;;
TN;Nhận xét nào dưới đây là không đúng về vai trò của nền văn minh Văn Lang - Âu Lạc đối với tiến trình phát triển của lịch sử Việt Nam?;Là nền văn minh đầu tiên của dân tộc Việt Nam|Phác họa và định hình bản sắc dân tộc, tránh nguy cơ bị đồng hóa|Đưa Việt Nam trở thành quốc gia giàu mạnh nhất khu vực|Đặt nền tảng cho sự phát triển của các nền văn minh sau này;3;;

DS;Đọc đoạn tư liệu sau đây: “Sau cuộc cách mạng tư sản giữa thế kỉ XVII, nước Anh đã có những chuyển biến căn bản về mặt chính trị và kinh tế. Trong suốt thế kỉ XVIII và 30 năm đầu thế kỉ XIX, ở Anh đã diễn ra một quá trình cách mạng, tuy không sôi nổi như những ngày nội chiến, nhưng đánh dấu một bước ngoặt trong sự phát triển sản xuất. Đó là cuộc cách mạng công nghiệp tư bản chủ nghĩa đầu tiên trong lịch sử.”;Cách mạng tư sản thắng lợi tạo điều kiện cho cách mạng công nghiệp bùng nổ;Đúng;;
